,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist,song_title,target,Unnamed: 0
15,0.243,https://api.spotify.com/v1/audio-analysis/79JRTaZyyrmTK31SuEkgWh,0.741,156222,0.0753,79JRTaZyyrmTK31SuEkgWh,0.868,4,0.105,-12.26,0,0.166,148.072,4,https://api.spotify.com/v1/tracks/79JRTaZyyrmTK31SuEkgWh,audio_features,spotify:track:79JRTaZyyrmTK31SuEkgWh,0.308,Saiko,Hands Free,1,
16,0.197,https://api.spotify.com/v1/audio-analysis/5Jm9dU50Rpzz5Yao9ynzQs,0.561,76835,0.0644,5Jm9dU50Rpzz5Yao9ynzQs,0.884,7,0.0932,-13.783,0,0.481,130.583,3,https://api.spotify.com/v1/tracks/5Jm9dU50Rpzz5Yao9ynzQs,audio_features,spotify:track:5Jm9dU50Rpzz5Yao9ynzQs,0.96,jhfly,yellow chords,1,
17,0.0402,https://api.spotify.com/v1/audio-analysis/5Hq1CQHBuaxjHSCgj6DoUu,0.807,96592,0.265,5Hq1CQHBuaxjHSCgj6DoUu,0.93,0,0.0866,-7.969,0,0.279,160.369,4,https://api.spotify.com/v1/tracks/5Hq1CQHBuaxjHSCgj6DoUu,audio_features,spotify:track:5Hq1CQHBuaxjHSCgj6DoUu,0.617,BluntOne,Pillars of Creation,1,
18,0.894,https://api.spotify.com/v1/audio-analysis/5A1WM8gcDOYQg39ItRc2k0,0.725,69000,0.291,5A1WM8gcDOYQg39ItRc2k0,0.753,3,0.113,-15.43,1,0.445,82.131,4,https://api.spotify.com/v1/tracks/5A1WM8gcDOYQg39ItRc2k0,audio_features,spotify:track:5A1WM8gcDOYQg39ItRc2k0,0.897,Kuranes,Roll,1,
19,0.749,https://api.spotify.com/v1/audio-analysis/5rGBIklVn5ngOm4MCqfPaj,0.732,217319,0.127,5rGBIklVn5ngOm4MCqfPaj,0.918,1,0.116,-8.848,1,0.187,81.087,4,https://api.spotify.com/v1/tracks/5rGBIklVn5ngOm4MCqfPaj,audio_features,spotify:track:5rGBIklVn5ngOm4MCqfPaj,0.496,blnkspc_,Sticky,1,
20,0.934,https://api.spotify.com/v1/audio-analysis/4WMhD2aaKegdm7qjyo4mxw,0.727,89330,0.0874,4WMhD2aaKegdm7qjyo4mxw,0.935,0,0.101,-19.549,1,0.074,80.966,4,https://api.spotify.com/v1/tracks/4WMhD2aaKegdm7qjyo4mxw,audio_features,spotify:track:4WMhD2aaKegdm7qjyo4mxw,0.526,Smoke Trees,Revell,1,
21,0.893,https://api.spotify.com/v1/audio-analysis/08YWria8Pcl9M4rgEnDoGE,0.751,151163,0.134,08YWria8Pcl9M4rgEnDoGE,0.901,6,0.113,-10.666,1,0.0584,77.973,4,https://api.spotify.com/v1/tracks/08YWria8Pcl9M4rgEnDoGE,audio_features,spotify:track:08YWria8Pcl9M4rgEnDoGE,0.245,Nosnija,walk,1,
22,0.683,https://api.spotify.com/v1/audio-analysis/3Oa86tDOeUTcCPdmhPAHDv,0.762,65358,0.144,3Oa86tDOeUTcCPdmhPAHDv,0.913,0,0.104,-15.852,1,0.0428,160.526,4,https://api.spotify.com/v1/tracks/3Oa86tDOeUTcCPdmhPAHDv,audio_features,spotify:track:3Oa86tDOeUTcCPdmhPAHDv,0.483,Cowode,Faith,1,
23,0.591,https://api.spotify.com/v1/audio-analysis/78QND38pGuTWcwqJkKrrc3,0.531,94748,0.108,78QND38pGuTWcwqJkKrrc3,0.894,6,0.109,-16.624,1,0.131,176.817,4,https://api.spotify.com/v1/tracks/78QND38pGuTWcwqJkKrrc3,audio_features,spotify:track:78QND38pGuTWcwqJkKrrc3,0.719,Smuv,eucalyptus,1,
24,0.311,https://api.spotify.com/v1/audio-analysis/7c4U62E20eYE4uLCcErlfH,0.457,120984,0.274,7c4U62E20eYE4uLCcErlfH,0.126,1,0.117,-16.349,1,0.339,80.983,4,https://api.spotify.com/v1/tracks/7c4U62E20eYE4uLCcErlfH,audio_features,spotify:track:7c4U62E20eYE4uLCcErlfH,0.518,Mujo,Crystal,1,
