,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist,song_title,target,Unnamed: 0
11,0.0584,https://api.spotify.com/v1/audio-analysis/0aEwbmIKDdv94O1sm38Y2B,0.482,198380,0.472,0aEwbmIKDdv94O1sm38Y2B,0.169,2,0.112,-7.979,1,0.0258,144.912,4,https://api.spotify.com/v1/tracks/0aEwbmIKDdv94O1sm38Y2B,audio_features,spotify:track:0aEwbmIKDdv94O1sm38Y2B,0.341,Bonny Doon,A Lotta Things,1,
12,0.661,https://api.spotify.com/v1/audio-analysis/07wbk15oNiLiQRcEteQQ2u,0.79,210828,0.713,07wbk15oNiLiQRcEteQQ2u,0.00374,2,0.103,-5.561,1,0.0344,114.761,4,https://api.spotify.com/v1/tracks/07wbk15oNiLiQRcEteQQ2u,audio_features,spotify:track:07wbk15oNiLiQRcEteQQ2u,0.915,The Woolen Men,In Disguise,1,
13,0.863,https://api.spotify.com/v1/audio-analysis/0I9Xtmb9a1ej3oJIcnjyLS,0.58,125933,0.47,0I9Xtmb9a1ej3oJIcnjyLS,0.931,3,0.11,-11.923,1,0.0338,111.464,4,https://api.spotify.com/v1/tracks/0I9Xtmb9a1ej3oJIcnjyLS,audio_features,spotify:track:0I9Xtmb9a1ej3oJIcnjyLS,0.43,Duster,Gold Dust,1,
14,0.162,https://api.spotify.com/v1/audio-analysis/7fR7pgBcRGjTYCOJzjnYEc,0.496,188173,0.505,7fR7pgBcRGjTYCOJzjnYEc,0.832,2,0.104,-9.569,1,0.0477,127.351,4,https://api.spotify.com/v1/tracks/7fR7pgBcRGjTYCOJzjnYEc,audio_features,spotify:track:7fR7pgBcRGjTYCOJzjnYEc,0.196,Duster,Heading for the Door,1,
15,0.00401,https://api.spotify.com/v1/audio-analysis/230Hyo6UwjJ3aarAcG6tsg,0.341,303493,0.628,230Hyo6UwjJ3aarAcG6tsg,0.29,4,0.051,-6.952,1,0.0329,132.176,4,https://api.spotify.com/v1/tracks/230Hyo6UwjJ3aarAcG6tsg,audio_features,spotify:track:230Hyo6UwjJ3aarAcG6tsg,0.195,Pile,Prom Song,1,
16,0.112,https://api.spotify.com/v1/audio-analysis/0QIsRWFUlg4Zrqfa5Du9TC,0.161,210549,0.828,0QIsRWFUlg4Zrqfa5Du9TC,0.963,2,0.0702,-4.422,1,0.0532,153.048,4,https://api.spotify.com/v1/tracks/0QIsRWFUlg4Zrqfa5Du9TC,audio_features,spotify:track:0QIsRWFUlg4Zrqfa5Du9TC,0.035,Perfect Pussy,Interference Fits,1,
17,0.367,https://api.spotify.com/v1/audio-analysis/1RqaZbkGvBliNFOCDgTqCY,0.55,401200,0.601,1RqaZbkGvBliNFOCDgTqCY,0.572,11,0.296,-10.245,0,0.0471,93.407,4,https://api.spotify.com/v1/tracks/1RqaZbkGvBliNFOCDgTqCY,audio_features,spotify:track:1RqaZbkGvBliNFOCDgTqCY,0.323,Polvo,Fast Canoe,1,
18,0.0323,https://api.spotify.com/v1/audio-analysis/3wnJ90SCPCKvU9Jzw7osZn,0.54,334167,0.598,3wnJ90SCPCKvU9Jzw7osZn,0.0185,5,0.159,-9.151,1,0.0277,77.08,4,https://api.spotify.com/v1/tracks/3wnJ90SCPCKvU9Jzw7osZn,audio_features,spotify:track:3wnJ90SCPCKvU9Jzw7osZn,0.728,Sonny & The Sunsets,Pretend You Love Me,1,
19,0.904,https://api.spotify.com/v1/audio-analysis/0P6SReGYBtbX9VThg1ERP8,0.368,261813,0.828,0P6SReGYBtbX9VThg1ERP8,0.18,3,0.167,-5.33,1,0.0827,130.618,4,https://api.spotify.com/v1/tracks/0P6SReGYBtbX9VThg1ERP8,audio_features,spotify:track:0P6SReGYBtbX9VThg1ERP8,0.44,Sonny & The Sunsets,green blood,1,
20,0.0137,https://api.spotify.com/v1/audio-analysis/4PWixmEsqBNNfGpoU2osjZ,0.434,306547,0.907,4PWixmEsqBNNfGpoU2osjZ,0.588,5,0.202,-4.338,0,0.0448,121.77,4,https://api.spotify.com/v1/tracks/4PWixmEsqBNNfGpoU2osjZ,audio_features,spotify:track:4PWixmEsqBNNfGpoU2osjZ,0.616,Sonny & The Sunsets,dark corners,1,
